master_id,oof_id_correspondiente,presente_en_master,presente_en_oof,ST_master,ST_oof,categoria_missing
Kp_ertapenem_R_GIMC1045_Kpn60130323_573_80627_rgi.txt,None,True,False,101,N/A,GIMC Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpneumoniae_Klebsiella_pneumoniae_strain_4-5_35491_rgi.txt,None,True,False,Unknown,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_BE015_GCA_900506555_1_rgi.txt,None,True,False,405,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_CZ010_GCA_900508435_1_rgi.txt,None,True,False,14,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_CZ012_GCA_900510985_1_rgi.txt,None,True,False,1333,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_DE069_GCA_900512595_1_rgi.txt,None,True,False,11,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_DE088_GCA_900512745_1_rgi.txt,None,True,False,48,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_ES102_GCA_900516655_1_rgi.txt,None,True,False,405,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_ES228_GCA_900517385_1_rgi.txt,None,True,False,405,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_ES232_GCA_900517355_1_rgi.txt,None,True,False,3646,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_ES237_GCA_900517465_1_rgi.txt,None,True,False,147,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_ES246_GCA_900517525_1_rgi.txt,None,True,False,16,N/A,Other Drop
S__rgi_Klebsiella_pneumoniae_ertapenem__Kpn_Klebsiella_pneumoniae_strain_EuSCAPE_ES252_GCA_900517565_1_rgi.txt,None,True,False,15,N/A,Other Drop
