original_filename,resistance_phenotype,sequence_type,dataset_partition,bvbrc_id_extraido,gca_extraido
Kp_ertapenem_R_015710-delta-acyT_573_81406_rgi.txt,Resistant,11,train,573.81406,
Kp_ertapenem_R_015710-delta-acyT-delta-pyt_573_81410_rgi.txt,Resistant,11,train,573.8141,
Kp_ertapenem_R_015710-delta-pyt_573_81405_rgi.txt,Resistant,11,train,573.81405,
Kp_ertapenem_R_101_573_24244_rgi.txt,Resistant,1473,train,573.24244,
Kp_ertapenem_R_1044471_573_81055_rgi.txt,Resistant,101,validation,573.81055,
Kp_ertapenem_R_104kGOR21_573_81585_rgi.txt,Resistant,258,train,573.81585,
Kp_ertapenem_R_110_573_24246_rgi.txt,Resistant,163,train,573.24246,
Kp_ertapenem_R_12_573_24247_rgi.txt,Resistant,14,train,573.24247,
Kp_ertapenem_R_132_573_24249_rgi.txt,Resistant,215,validation,573.24249,
Kp_ertapenem_R_13545_573_82129_rgi.txt,Resistant,340,train,573.82129,
Kp_ertapenem_R_14_573_79053_rgi.txt,Resistant,11,train,573.79053,
Kp_ertapenem_R_15006GOR17_573_81604_rgi.txt,Resistant,258,train,573.81604,
Kp_ertapenem_R_159Kpn_573_78755_rgi.txt,Resistant,258,train,573.78755,
Kp_ertapenem_R_16_573_24252_rgi.txt,Resistant,16,train,573.24252,
Kp_ertapenem_R_17_573_24254_rgi.txt,Resistant,16,train,573.24254,
Kp_ertapenem_R_17ZR-21_573_80978_rgi.txt,Resistant,437,validation,573.80978,
Kp_ertapenem_R_18_573_24256_rgi.txt,Resistant,14,train,573.24256,
Kp_ertapenem_R_18_573_79052_rgi.txt,Resistant,11,train,573.79052,
Kp_ertapenem_R_18471_573_82132_rgi.txt,Resistant,215,validation,573.82132,
Kp_ertapenem_R_18473_573_82135_rgi.txt,Resistant,Unknown,validation,573.82135,
Kp_ertapenem_R_18535_573_82136_rgi.txt,Resistant,258,train,573.82136,
Kp_ertapenem_R_18722_573_82133_rgi.txt,Resistant,16,train,573.82133,
Kp_ertapenem_R_18868_573_82134_rgi.txt,Resistant,323,train,573.82134,
Kp_ertapenem_R_18926_573_82130_rgi.txt,Resistant,39,train,573.8213,
Kp_ertapenem_R_18937_573_82131_rgi.txt,Resistant,MLST.-.-,validation,573.82131,
Kp_ertapenem_R_19_573_24258_rgi.txt,Resistant,43,train,573.24258,
Kp_ertapenem_R_2_573_24260_rgi.txt,Resistant,34,train,573.2426,
Kp_ertapenem_R_20_573_24261_rgi.txt,Resistant,43,train,573.24261,
Kp_ertapenem_R_2014C06-205_573_78971_rgi.txt,Resistant,11,train,573.78971,
Kp_ertapenem_R_2014C06-217_573_78970_rgi.txt,Resistant,11,train,573.7897,
Kp_ertapenem_R_2016C06-010_573_78967_rgi.txt,Resistant,11,train,573.78967,
Kp_ertapenem_R_2016C06-013_573_78965_rgi.txt,Resistant,11,train,573.78965,
Kp_ertapenem_R_2016C06-072_573_78963_rgi.txt,Resistant,11,train,573.78963,
Kp_ertapenem_R_2016C06-080_573_78961_rgi.txt,Resistant,11,train,573.78961,
Kp_ertapenem_R_2016C06-098_573_78960_rgi.txt,Resistant,11,train,573.7896,
Kp_ertapenem_R_2016C06-122_573_78959_rgi.txt,Resistant,11,train,573.78959,
Kp_ertapenem_R_2016C06-211_573_78956_rgi.txt,Resistant,11,train,573.78956,
Kp_ertapenem_R_2016C06-237_573_78955_rgi.txt,Resistant,11,train,573.78955,
Kp_ertapenem_R_2016C07-154_573_78954_rgi.txt,Resistant,11,train,573.78954,
Kp_ertapenem_R_2016E04-172_573_78953_rgi.txt,Resistant,11,train,573.78953,
Kp_ertapenem_R_2018C06-148_573_78957_rgi.txt,Resistant,11,train,573.78957,
Kp_ertapenem_R_2024CK-00645_573_77406_rgi.txt,Resistant,Unknown,validation,573.77406,
Kp_ertapenem_R_2048DZ24_573_81595_rgi.txt,Resistant,101,validation,573.81595,
Kp_ertapenem_R_210057_573_80643_rgi.txt,Resistant,23,train,573.80643,
Kp_ertapenem_R_213_573_79048_rgi.txt,Resistant,11,train,573.79048,
Kp_ertapenem_R_218_573_79046_rgi.txt,Resistant,11,train,573.79046,
Kp_ertapenem_R_2190SG22_573_81583_rgi.txt,Resistant,512,validation,573.81583,
Kp_ertapenem_R_22_573_24265_rgi.txt,Resistant,437,validation,573.24265,
Kp_ertapenem_R_22-29_573_77551_rgi.txt,Resistant,859,train,573.77551,
Kp_ertapenem_R_22-30_573_77552_rgi.txt,Resistant,859,train,573.77552,
Kp_ertapenem_R_231225596_573_81660_rgi.txt,Resistant,11,train,573.8166,
Kp_ertapenem_R_2369_22_573_78712_rgi.txt,Resistant,15,train,573.78712,
Kp_ertapenem_R_2377SG22_573_81582_rgi.txt,Resistant,1519,validation,573.81582,
Kp_ertapenem_R_23_D_573_81283_rgi.txt,Resistant,29,train,573.81283,
Kp_ertapenem_R_24_573_24267_rgi.txt,Resistant,88,train,573.24267,
